id,name,province,aqhi,observed,observation_datetime_text_en,observation_datetime_text_fr,lon,lat,color
AQ_OBS-ABFQA-20260201000000,Labrador City,,2.02,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-66.9365972,52.9605694,#016797
AQ_OBS-DAEBC-20260201000000,St. Andrews,,1.88,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-67.058373,45.079907,#0099cb
AQ_OBS-FDCHU-20260201000000,Hamilton West,,2.68,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.9027778,43.2644444,#016797
AQ_OBS-IAKID-20260201000000,Calgary,,2.5,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-114.0575,51.0458333333333,#016797
AQ_OBS-GAILW-20260201000000,Flin Flon,,1.0,2026-02-01T00:00:00Z,6:00 PM CST Saturday 31 January 2026,6h00 PM HNC samedi 31 janvier 2026,-101.8641699,54.768056,#01cbff
AQ_OBS-FCWFX-20260201000000,Thunder Bay,,2.68,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-89.2677778,48.4013889,#016797
AQ_OBS-FDGEM-20260201000000,Milton,,2.59,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.9177778,43.5055556,#016797
AQ_OBS-CBELL-20260201000000,Port Hawkesbury,,2.41,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-61.356111,45.6161111,#016797
AQ_OBS-JBJFI-20260201000000,Metro Vancouver - SW,,1.89,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-123.163333,49.163333,#0099cb
AQ_OBS-LAILN-20260201000000,Fort Smith,,1.47,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-111.8829,60.0053,#0099cb
AQ_OBS-IAFEW-20260201000000,Fort Chipewyan,,2.15,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-111.158333333333,58.7144444444444,#016797
AQ_OBS-IAGHN-20260201000000,St. Albert,,1.36,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-113.6202778,53.6369444,#0099cb
AQ_OBS-FEVJS-20260201000000,Belleville,,2.27,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-77.3697222,44.2566666,#016797
AQ_OBS-JAGPB-20260201010000,Fort St. John,,1.64,2026-02-01T01:00:00Z,5:00 PM PST Saturday 31 January 2026,5h00 PM HNP samedi 31 janvier 2026,-120.846667,56.2525,#0099cb
AQ_OBS-JBOBQ-20260201010000,Victoria / Saanich,,1.33,2026-02-01T01:00:00Z,5:00 PM PST Saturday 31 January 2026,5h00 PM HNP samedi 31 janvier 2026,-123.366666666667,48.4333333333333,#0099cb
AQ_OBS-FBKKK-20260201010000,Guelph,,2.39,2026-02-01T01:00:00Z,8:00 PM EST Saturday 31 January 2026,8h00 PM HNE samedi 31 janvier 2026,-80.22899,43.53571,#016797
AQ_OBS-HASIZ-20260201010000,Buffalo Narrows,,1.82,2026-02-01T01:00:00Z,7:00 PM CST Saturday 31 January 2026,7h00 PM HNC samedi 31 janvier 2026,-108.5243083,55.8769833,#0099cb
AQ_OBS-FEUZB-20260201010000,Toronto,,2.48,2026-02-01T01:00:00Z,8:00 PM EST Saturday 31 January 2026,8h00 PM HNE samedi 31 janvier 2026,-79.3733333333333,43.7416666666667,#016797
AQ_OBS-JBOAP-20260201010000,North Okanagan,,1.58,2026-02-01T01:00:00Z,5:00 PM PST Saturday 31 January 2026,5h00 PM HNP samedi 31 janvier 2026,-119.266666666667,50.2583333333333,#0099cb
AQ_OBS-FDQBU-20260201010000,Toronto East,,2.69,2026-02-01T01:00:00Z,8:00 PM EST Saturday 31 January 2026,8h00 PM HNE samedi 31 janvier 2026,-79.2308334,43.7558333,#016797
AQ_OBS-ABFQA-20260201010000,Labrador City,,2.02,2026-02-01T01:00:00Z,9:00 PM AST Saturday 31 January 2026,9h00 PM HNA samedi 31 janvier 2026,-66.9365972,52.9605694,#016797
