id,name,province,forecast_datetime,publication_datetime,forecast_datetime_text_en,forecast_datetime_text_fr,publication_datetime_text_en,publication_datetime_text_fr,p1_label,p1_aqhi,p2_label,p2_aqhi,p3_label,p3_aqhi,p4_label,p4_aqhi,p5_label,p5_aqhi,lon,lat,p1_color
AQ_FCST-IACMP-202512210100-202512210000,Edmonton,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-113.490277777778,53.5344444444444,#9e9e9e
AQ_FCST-JBNTS-202512210100-202512210100,Quesnel,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-122.5,53.0,#9e9e9e
AQ_FCST-JCLMX-202512210100-202512210100,WestShore,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-123.493333,48.423611,#9e9e9e
AQ_FCST-IAFFF-202512210100-202512210000,Fort McKay,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-111.599722222222,57.1811111111111,#9e9e9e
AQ_FCST-IAJWU-202512210100-202512210000,Hinton,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-117.5627778,53.4111111,#9e9e9e
AQ_FCST-JBXCK-202512210100-202512210100,Terrace,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-128.599722,54.516389,#9e9e9e
AQ_FCST-JBMPJ-202512210100-202512210100,Sparwood,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-114.885833,49.733333,#9e9e9e
AQ_FCST-IAFYX-202512210100-202512210000,Genesee,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-114.37,53.3458334,#9e9e9e
AQ_FCST-IACIQ-202512210100-202512210000,Strathcona County,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-113.1438889,53.5522222,#9e9e9e
AQ_FCST-JABNO-202512210100-202512210100,Central Fraser Valley,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-122.25,49.0583333333333,#9e9e9e
AQ_FCST-JAQAL-202512210100-202512210100,Nanaimo / Parksville,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-123.933333333333,49.1666666666667,#9e9e9e
AQ_FCST-LAILM-202512210100-202512210000,Fort Simpson,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-121.3527,61.8609,#9e9e9e
AQ_FCST-IAQFR-202512210100-202512210000,Airdrie,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-114.0141667,51.2922222,#9e9e9e
AQ_FCST-KAHFT-202512210100-202512210000,Whitehorse,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-135.0808333,60.6961111,#9e9e9e
AQ_FCST-JAFNW-202512210200-202512210100,Kamloops,,2025-12-21T02:00:00Z,2025-12-21T01:00:00Z,6:00 PM PST Saturday 20 December 2025,6h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-120.327222222222,50.6733333333333,#9e9e9e
AQ_FCST-JBNTS-202512210200-202512210100,Quesnel,,2025-12-21T02:00:00Z,2025-12-21T01:00:00Z,6:00 PM PST Saturday 20 December 2025,6h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-122.5,53.0,#9e9e9e
